! FILETYPE CSV
! VERSION 1.0,1
! TIMESTAMP Saturday, 05 June 2021 06:17:46
! NAME Agilent Technologies
! MODEL N9923A
! SERIAL MY52412229
! FIRMWARE_VERSION A.07.32
! GPS_LATITUDE 
! GPS_LONGITUDE 
! GPS_TIMESTAMP 0001-01-01 00:00:00Z
! GPS_SECS_SINCE_LAST_READ 0
! CHECKSUM 2105012264
! CORRECTION1 ON U
! DATA Freq,S21
! FREQ UNIT Hz
! DATA UNIT Degrees
BEGIN
2000000,-132.570113217659
2310000,-129.441162569025
2620000,-116.967110702916
2930000,-98.146815856131
3240000,-91.5455366829667
3550000,-92.3046236962084
3860000,-99.8881471958352
4170000,-112.368762813008
4480000,-127.189861632885
4790000,-143.873913415116
5100000,-161.323083598374
5410000,-178.295333832866
5720000,-194.386586273162
6030000,-208.633758436027
6340000,-221.903320848709
6650000,-234.430960618411
6960000,-244.304475857399
7270000,-254.614690315202
7580000,-262.588066920022
7890000,-270.72625390937
8200000,-278.62777236395
8510000,-284.592344161471
8820000,-292.005540659504
9130000,-298.35616942021
9440000,-303.783996202273
9750000,-309.473723831595
10060000,-314.716424484647
10370000,-319.467298352642
10680000,-325.076270345268
10990000,-330.41889350597
11300000,-334.47459428693
11610000,-339.655809584717
11920000,-344.367198033186
12230000,-349.06718985299
12540000,-353.187702881725
12850000,-357.63892512556
13160000,-361.910799895606
13470000,-366.197999678577
13780000,-370.169280410112
14090000,-374.069842024701
14400000,-378.543536181071
14710000,-381.483876092728
15020000,-385.648450096824
15330000,-389.811957507306
15640000,-392.852464471483
15950000,-396.395446801163
16260000,-400.493068471942
16570000,-403.913617839487
16880000,-406.990133415387
17190000,-410.198148487367
17500000,-413.700236476659
17810000,-417.134643529518
18120000,-420.32677008813
18430000,-423.219786190949
18740000,-426.530626098495
19050000,-429.766005108572
19360000,-432.663959406661
19670000,-435.661074481254
19980000,-438.432411070318
20290000,-441.277857834128
20600000,-444.190285686426
20910000,-447.599371753607
21220000,-450.432946479327
21530000,-452.820111922729
21840000,-456.271225791287
22150000,-458.907957930681
22460000,-461.492077471505
22770000,-464.269825759299
23080000,-467.472342006949
23390000,-470.271025968362
23700000,-472.557762595219
24010000,-475.586172423654
24320000,-478.32308978421
24630000,-481.486176811414
24940000,-483.815377764436
25250000,-486.262381900205
25560000,-488.933551076957
25870000,-492.147276480649
26180000,-494.585110035361
26490000,-497.870803326751
26800000,-500.65216095935
27110000,-502.247402589027
27420000,-506.38300162293
27730000,-508.601918664751
28040000,-511.370445782708
28350000,-513.710380417471
28660000,-516.560033780078
28970000,-518.832562154386
29280000,-521.362448828324
29590000,-524.258884350174
29900000,-526.976545351057
30210000,-528.714242133526
30520000,-532.133254503738
30830000,-534.32111192818
